Algorithms: Standard Zielonka / Warsaw QPT Zielonka / Liverpool QPT Zielonka
Runnning time is in seconds
For Zielonka algorithms we also output the number of iterations
family-core-1.pg;0.000022;18;0.000036;18;0.000029;42
family-core-2.pg;0.000059;76;0.000109;252;0.000168;243
family-core-3.pg;0.000144;270;0.000524;1573;0.000407;1200
family-core-4.pg;0.000403;888;0.002465;7819;0.001247;3790
family-core-5.pg;0.001237;2794;0.010302;33466;0.003053;9611
family-core-6.pg;0.003575;8538;0.033945;121813;0.007742;33278
family-core-7.pg;0.008069;25550;0.064143;274207;0.019063;82846
family-core-8.pg;0.023792;75256;0.122600;524512;0.040686;176679
family-core-9.pg;0.066644;218918;0.215044;925909;0.077175;341959
family-core-10.pg;0.187989;630452;0.358618;1537522;0.138404;617456
family-core-11.pg;0.530210;1800598;1.799616;7995203;0.391602;1771884
family-core-12.pg;1.491758;5106866;3.186737;14035905;0.828006;3763132
family-core-13.pg;4.227099;14398410;5.087866;22492862;1.536101;7013816
family-core-14.pg;11.680367;40388068;7.923282;34395228;2.632936;12105786
family-core-15.pg;32.399673;112786494;11.556842;51019835;4.320703;19824213
family-core-16.pg;89.614492;313733808;18.917566;73927578;6.837265;31210149
family-core-17.pg;276.351083;869681410;23.877489;105587680;11.367668;47622569
family-core-18.pg;731.657002;2403347466;36.288994;148396601;16.817136;70810960
family-core-19.pg;>900;-;51.101205;205564954;24.499072;102999578
family-core-20.pg;>900;-;64.699790;281043686;32.308029;146984550
family-core-21.pg;>900;-;249.772014;981759862;49.518194;206245538
family-dp-1.pg;0.000019;8;0.000020;11;0.000020;8
family-dp-2.pg;0.000024;18;0.000026;21;0.000027;23
family-dp-3.pg;0.000033;30;0.000036;41;0.000039;42
family-dp-4.pg;0.000047;52;0.000071;81;0.000059;80
family-dp-5.pg;0.000067;85;0.000105;188;0.000098;156
family-dp-6.pg;0.000095;140;0.000177;346;0.000141;253
family-dp-7.pg;0.000135;228;0.000265;567;0.000216;380
family-dp-8.pg;0.000212;371;0.000503;1073;0.000311;567
family-dp-9.pg;0.000323;602;0.001128;2445;0.000627;1148
family-dp-10.pg;0.000503;976;0.001807;3656;0.000875;1638
family-dp-11.pg;0.000823;1581;0.003008;5729;0.001389;2518
family-dp-12.pg;0.001259;2560;0.003933;7808;0.001854;3466
family-dp-13.pg;0.002026;4144;0.006289;10882;0.002743;4774
family-dp-14.pg;0.003253;6707;0.007617;14167;0.003354;6375
family-dp-15.pg;0.004926;10854;0.018023;34958;0.004569;8274
family-dp-16.pg;0.007910;17564;0.023136;46240;0.005701;10770
family-dp-17.pg;0.013021;28421;0.040698;79264;0.011961;21736
family-dp-18.pg;0.020697;45988;0.052634;100834;0.015091;27904
family-dp-19.pg;0.033664;74412;0.073531;136163;0.023950;42596
family-dp-20.pg;0.053632;120403;0.089407;168950;0.026821;53954
family-dp-21.pg;0.077089;194818;0.106432;211198;0.038395;73696
family-dp-22.pg;0.126311;315224;0.135031;257220;0.047267;92157
family-dp-23.pg;0.205709;510045;0.167923;310851;0.063826;118612
family-dp-24.pg;0.320667;825272;0.195243;373263;0.076990;146544
family-dp-25.pg;0.547736;1335320;0.245789;441726;0.100837;181768
family-dp-26.pg;0.842376;2160595;0.301672;524375;0.120499;222058
family-dp-27.pg;1.395237;3495918;0.359010;614298;0.155786;268558
family-dp-28.pg;2.213822;5656516;0.425011;722522;0.180649;324680
family-dp-29.pg;3.823598;9152437;0.523724;836476;0.251698;385476
family-dp-30.pg;6.079330;14808956;0.603250;976095;0.274090;461563
family-dp-31.pg;10.195357;23961396;1.746766;2746900;0.346700;540254
family-dp-32.pg;16.498054;38770355;1.966310;3191057;0.390172;641177
family-dp-33.pg;26.896130;62731754;3.399819;5124387;0.845954;1282266
family-dp-34.pg;44.022503;101502112;3.917623;5935382;0.947925;1514625
family-dp-35.pg;68.536971;164233869;5.128491;7613468;1.387722;2283662
family-dp-36.pg;113.917679;265735984;5.895710;8794550;1.682978;2684555
family-dp-37.pg;167.755613;429969856;7.478457;10491375;2.610579;3614426
family-dp-38.pg;294.240741;695705843;8.028696;12079477;2.772236;4228520
family-dp-39.pg;441.814918;1125675702;8.940618;13944061;3.436010;5358766
family-dp-40.pg;717.898259;1821381548;10.171322;15993717;3.883786;6239376
family-dp-41.pg;>900;-;12.867711;18122620;4.881178;7617162
family-dp-42.pg;>900;-;13.470624;20698188;6.280717;8827426
family-dp-43.pg;>900;-;15.569940;23196387;6.812050;10508600
family-dp-44.pg;>900;-;19.498273;26376810;8.806910;12122754
family-dp-45.pg;>900;-;22.267064;29583106;9.403977;14173000
family-dp-46.pg;>900;-;22.507984;33516406;12.132160;16277757
family-dp-47.pg;>900;-;28.005236;37396414;13.362108;18773846
family-dp-48.pg;>900;-;28.697935;42222178;16.311664;21469883
family-dp-49.pg;>900;-;35.731841;46893891;18.047961;24501026
family-dp-50.pg;>900;-;36.891443;52771614;21.221666;27904583
family-qpt-1.pg;0.000015;1;0.000017;1;0.000024;1
family-qpt-2.pg;0.000023;1;0.000032;1;0.000033;2
family-qpt-3.pg;0.000032;1;0.000032;1;0.000034;2
family-qpt-4.pg;0.000033;1;0.000033;1;0.000035;3
family-qpt-5.pg;0.000033;1;0.000039;1;0.000035;3
family-qpt-6.pg;0.000036;1;0.000035;1;0.000038;3
family-qpt-7.pg;0.000041;1;0.000035;1;0.000038;3
